kpi_group,kpi_name,kpi_unit,kpi_display_order,is_headline,kpi_value,kpi_value_text
volume,funded_loan_count,count,1,true,10000.0,
volume,first_origination_date,date,2,false,,2018-04-11
volume,last_origination_date,date,3,false,,2025-12-18
volume,origination_window_days,count,4,false,2808.0,
volume,distinct_origination_days,count,5,false,2166.0,
frequency,loss_loan_count,count,6,false,2119.0,
frequency,non_loss_loan_count,count,7,false,7881.0,
frequency,portfolio_loss_rate,rate,8,true,0.2119,
frequency,funded_loan_count_last_12_months,count,9,false,1573.0,
frequency,loss_rate_last_12_months,rate,10,true,0.23458359821996186,
frequency,funded_loan_count_prior_12_months,count,11,false,1698.0,
frequency,loss_rate_prior_12_months,rate,12,false,0.21908127208480566,
frequency,loss_rate_12_month_change,rate_change,13,true,0.015502326135156203,
severity,total_recorded_loss_amount,amount,14,true,68530441.67,
severity,total_positive_loss_amount,amount,15,false,68905381.05,
severity,total_net_recovery_amount,amount,16,false,-374939.38,
severity,average_loss_per_funded_loan,amount,17,true,6853.044167,
severity,average_loss_severity,amount,18,true,31584.836597451627,
severity,median_loss_severity,amount,19,false,20188.87,
severity,maximum_loss_amount,amount,20,false,440332.44,
data_quality,label_conflict_loan_count,count,21,false,153.0,
data_quality,label_conflict_rate,rate,22,false,0.0153,
data_quality,net_recovery_loan_count,count,23,false,197.0,
data_quality,missing_loss_amount_count,count,24,false,4.0,
data_quality,missing_received_date_count,count,25,false,0.0,
data_quality,duplicate_feature_vector_groups,count,26,false,2435.0,
data_quality,duplicate_feature_vector_loan_count,count,27,false,5427.0,
data_quality,duplicate_feature_vector_rate,rate,28,true,0.5427,
data_quality,distinct_feature_vector_count,count,29,false,7008.0,
