feature_category_key,feature_name,feature_value,origination_year,loan_count,portfolio_share,loss_count,observed_loss_rate,average_loss_severity,total_observed_loss,observed_loss_per_loan,sufficient_sample_flag
cc3706afc402393d68eecad8f92ea1a2,feat_001,IND_183,2023,277,0.11296900489396411,93,0.33574007220216606,27056.29924731183,2516235.83,9083.883862815885,true
d4a1f22e924ada658f38e4cc4aa7df4e,feat_001,IND_183,2022,238,0.1409117821195974,55,0.23109243697478993,29273.757818181817,1610056.68,6764.944033613445,true
38f78d3aa0bfd444452e3374b020eff8,feat_001,IND_064,2023,209,0.08523654159869494,54,0.2583732057416268,29811.678888888888,1609830.66,7702.5390430622,true
141dda3d5765bea37668dcd200813507,feat_001,IND_064,2024,164,0.09579439252336448,32,0.1951219512195122,19490.8621875,623707.59,3803.0950609756096,true
e50b4e3a8612577191a2d5f4bf4a07a3,feat_001,IND_064,2025,127,0.08621860149355058,32,0.25196850393700787,35792.6721875,1145365.51,9018.626062992125,true
0cb447b2fa24f4dee6cf23b8cf2f47e9,feat_001,IND_064,2022,120,0.07104795737122557,17,0.14166666666666666,18387.023529411767,312579.40,2604.8283333333334,true
06fcbce4f28376ed446bda95a1002c41,feat_001,IND_048,2022,112,0.06631142687981054,29,0.25892857142857145,32516.287241379312,942972.33,8419.395803571428,true
0a8586faab67a6628e13ad6aebd3eb3b,feat_001,IND_020,2024,108,0.0630841121495327,13,0.12037037037037036,43393.67846153846,564117.82,5223.313148148148,true
688ad1083a65bd99c7048955340c9e16,feat_001,IND_183,2024,108,0.0630841121495327,22,0.2037037037037037,52755.98136363636,1160631.59,10746.588796296297,true
be9b15dc4d030b4dfd7bae73cdb3dfc3,feat_001,IND_048,2023,100,0.040783034257748776,19,0.19,25138.615789473683,477633.70,4776.337,true
9eb5d408e187b1f64e932190d97afba3,feat_001,IND_183,2025,100,0.06788866259334692,23,0.23,41810.10304347826,961632.37,9616.3237,true
a284ca6c3969c11826695c4b01e46d2a,feat_001,IND_019,2023,99,0.04037520391517129,42,0.42424242424242425,40186.83761904762,1687847.18,17048.961414141413,true
22a9313cd6c6a9fcbb3f98da61151e5b,feat_001,IND_183,2019,98,0.10583153347732181,23,0.23469387755102042,21086.28,484984.44,4948.820816326531,true
32a0daa33a790625feeff768fa7a34c1,feat_001,IND_064,2018,89,0.11265822784810127,11,0.12359550561797752,38069.748181818184,418767.23,4705.249775280899,true
f59605fa8159d84bfabfb06710c5423b,feat_001,IND_048,2024,88,0.0514018691588785,22,0.25,29032.88090909091,638723.38,7258.220227272727,true
9487151963ddd13850f2cdca36d5ff20,feat_001,IND_020,2023,87,0.035481239804241435,10,0.11494252873563218,28461.705,284617.05,3271.460344827586,true
fb5016b842248f0ac989a9f285d844f5,feat_001,IND_064,2020,83,0.10297766749379653,11,0.13253012048192772,24448.387272727272,268932.26,3240.1477108433737,true
3536f75bd14179306d95dcc9458f5220,feat_001,IND_183,2020,80,0.09925558312655088,22,0.275,26074.814545454545,573645.92,7170.5740000000005,true
cb9475312f179bc13c7e2d68d83aec6f,feat_001,IND_012,2023,78,0.03181076672104405,20,0.2564102564102564,17997.3515,359947.03,4614.705512820513,true
a1d20e92f0eb96fd9d1fcf0f52c08db3,feat_001,IND_012,2025,77,0.05227427019687712,21,0.2727272727272727,31572.570476190474,663023.98,8610.701038961039,true
cfbe3c99374580ec8af497397e0349ce,feat_001,IND_064,2019,77,0.08315334773218143,20,0.2597402597402597,32619.899,652397.98,8472.701038961039,true
7faffe9375ffbcf94d7e8528601c4fbb,feat_001,IND_043,2023,75,0.030587275693311582,30,0.4,56749.34366666667,1702480.31,22699.73746666667,true
aa6ec2cc09a6e5c72f120806bcff62e7,feat_001,IND_048,2019,75,0.08099352051835854,7,0.09333333333333334,45863.322857142855,321043.26,4280.5768,true
967aff581a40985f1eceeec255e2bccb,feat_001,IND_020,2025,72,0.048879837067209775,6,0.08333333333333333,56210.87333333334,337265.24,4684.239444444444,true
470c6f6cf146dac871dc1e7e2395fd16,feat_001,IND_092,2024,72,0.04205607476635514,20,0.2777777777777778,14895.108,297902.16,4137.53,true
01b847756425834545fcb11d5ccae5b2,feat_001,IND_012,2024,72,0.04205607476635514,11,0.1527777777777778,15358.147272727272,168939.62,2346.383611111111,true
702cb25e55996fafb4a41a19bfb09a56,feat_001,IND_092,2025,70,0.04752206381534284,15,0.21428571428571427,27079.847333333335,406197.71,5802.824428571429,true
436f070db5078594f878b14136bf3aef,feat_001,IND_191,2023,67,0.02732463295269168,15,0.22388059701492538,31568.894,473533.41,7067.662835820895,true
